"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"560","Dean Norris",76.7,7,11,"Fist Fight",32.2
"561","Edward Norton",1071.7,25,42.9,"The Incredible Hulk",134.8
"562","Lupita Nyong'o",1458.4,5,291.7,"Star Wars: The Force Awakens",936.7
"563","Michael Nyqvist",303.6,9,33.7,"Mission: Impossible 4",209.4
"564","Jack O'Connell",269.1,9,29.9,"Unbroken",115.6
"565","Chris O'Donnell",779.3,19,41,"Batman Forever",184
"566","Jason O'Mara",77.3,3,25.8,"Resident Evil: Extinction",50.6
"567","Sophie Okonedo",103.5,7,14.8,"The Secret Life of Bees",37.8
"568","Gary Oldman",3378.8,41,82.4,"The Dark Knight",534.9
"569","Elizabeth Olsen",1126.6,15,75.1,"Avengers: Age of Ultron",459
"570","Mary-Kate Olsen",63.5,4,15.9,"Beastly",27.9
"571","Timothy Olyphant",696,22,31.6,"Live Free or Die Hard",134.5
"572","Clive Owen",547,26,21,"Inside Man",88.5
"573","David Oyelowo",517,14,36.9,"Rise of the Planet of the Apes",176.8
"574","Al Pacino",1457.3,39,37.4,"The Godfather",135
"575","Ellen Page",730.9,16,45.7,"Inception",292.6
"576","Adrianne Palicki",210.4,4,52.6,"G.I. Joe: Retaliation",122.5
"577","Teresa Palmer",536.1,17,31.5,"Bedtime Stories",110.1
"578","Gwyneth Paltrow",1834,33,55.6,"Iron Man 3",409
"579","Hayden Panettiere",338.4,12,28.2,"Remember the Titans",115.7
"580","Anna Paquin",997.6,19,52.5,"X-Men: The Last Stand",234.4
"581","Sarah Jessica Parker",990.6,28,35.4,"Sex and the City",152.6
"582","Trey Parker",264.6,1,264.6,"Despicable Me 3",264.6
"583","Dev Patel",439.8,8,55,"Slumdog Millionaire",141.3
"584","Robert Pattinson",1744.8,15,116.3,"The Twilight Saga: Eclipse",300.5
"585","Paula Patton",622.1,13,47.9,"Mission: Impossible 4",209.4
"586","Sarah Paulson",216,12,18,"12 Years a Slave",56.7
"587","Bill Paxton",1550.6,18,86.1,"Titanic",659.4
"588","Guy Pearce",1212.5,33,36.7,"Iron Man 3",409
"589","Jordan Peele",167.2,3,55.7,"Captain Underpants",73.9
"590","Amanda Peet",882,26,33.9,"2012",166.1
"591","Simon Pegg",2620.1,20,131,"Star Wars: The Force Awakens",936.7
"592","Kal Penn",415.2,13,31.9,"Superman Returns",200.1
"593","Sean Penn",867.6,39,22.2,"Angry Birds",107.5
"594","Piper Perabo",581.2,16,36.3,"Cheaper by the Dozen",138.6
"595","Ron Perlman",942,23,41,"Fantastic Beasts and Where To Find Them",234
"596","Alex Ross Perry",NA,1,NA,"7 Chinese Brothers",NA
"597","Matthew Perry",200.9,7,28.7,"17 Again",64.2
"598","Tyler Perry",1102.6,19,58,"Gone Girl",167.8
"599","Alex Pettyfer",259.4,7,37.1,"Magic Mike",113.7
"600","Michelle Pfeiffer",1543.4,38,40.6,"Batman Returns",162.8
"601","Ryan Phillippe",414.7,17,24.4,"I Know What You Did Last Summer",72.6
"602","Joaquin Phoenix",1013.2,27,37.5,"Signs",228
"603","Rosamund Pike",706.8,19,37.2,"Gone Girl",167.8
"604","Chris Pine",1750.4,20,87.5,"Wonder Woman",412.6
"605","Jada Pinkett-Smith",1927.7,24,80.3,"The Matrix Reloaded",281.6
"606","Freida Pinto",406.2,8,50.8,"Rise of the Planet of the Apes",176.8
"607","Brad Pitt",2721.1,42,64.8,"World War Z",202.4
"608","Aubrey Plaza",178.5,13,13.7,"Funny People",51.9
"609","Jesse Plemons",400.4,13,30.8,"Bridge of Spies",72.3
"610","Christopher Plummer",1191.9,29,41.1,"National Treasure",173
"611","Sydney Pollack",533.3,10,53.3,"Tootsie",177.2
"612","Sarah Polley",116.2,19,6.1,"Dawn of the Dead",59
"613","Imogen Poots",136.6,17,8,"Need for Speed",43.6
"614","Natalie Portman",2077.6,30,69.3,"The Phantom Menace",474.5
"615","Parker Posey",599.7,33,18.2,"Superman Returns",200.1
"616","Franka Potente",360,9,40,"The Bourne Supremacy",176.2
"617","Bel Powley",1.8,5,NA,"The Diary of a Teenage Girl",1.5
"618","Chris Pratt",2083.2,15,138.9,"Jurassic World",652.3
"619","Freddie Prinze Jr.",518.7,16,32.4,"Scooby-Doo",153.3
"620","Jonathan Pryce",1572.2,33,47.6,"Dead Man's Chest",423.3
"621","James Purefoy",187.9,6,31.3,"John Carter",73.1
"622","Dennis Quaid",1751.8,56,31.3,"The Day After Tomorrow",186.7
"623","Randy Quaid",948.7,38,25,"Independence Day",306.2
"624","Daniel Radcliffe",2634.4,17,155,"Harry Potter / Deathly Hallows (P2)",381
"625","Josh Radnor",NA,3,NA,"Liberal Arts",NA
"626","Edgar Ramirez",620.3,11,56.4,"The Bourne Ultimatum",227.5
"627","Harold Ramis",11.6,1,11.6,"The Last Kiss (2006)",11.6
"628","Noomi Rapace",359.2,9,39.9,"Sherlock Holmes 2",186.8
"629","Emily Ratajkowski",3.6,1,3.6,"We Are Your Friends",3.6
"630","Jackson Rathbone",1302.5,5,260.5,"The Twilight Saga: Eclipse",300.5
"631","Max Records",107.7,2,53.8,"Where the Wild Things Are",77.2
"632","Lance Reddick",120.6,6,20.1,"Don't Say a Word",55
"633","Robert Redford",1643.4,31,53,"Captain America 2",259.8
"634","Eddie Redmayne",519,9,57.7,"Fantastic Beasts and Where To Find Them",234
"635","Crystal Reed",21.5,2,10.7,"Skyline",21.4
"636","Christopher Reeve",427.6,15,28.5,"Superman",134.2
"637","Keanu Reeves",1959.4,46,42.6,"The Matrix Reloaded",281.6
"638","John C. Reilly",1980.7,37,53.5,"Guardians of the Galaxy",333.2
"639","Rob Reiner",116.9,1,116.9,"The Wolf of Wall Street",116.9
"640","Jeremy Renner",2634.7,23,114.6,"The Avengers",623.4
"641","Ryan Reynolds",1752.2,33,53.1,"Deadpool",363.1
"642","Giovanni Ribisi",1928.4,32,60.3,"Avatar",760.5
"643","Christina Ricci",743.7,35,21.2,"Addams Family",113.5
"644","Denise Richards",365.6,12,30.5,"World Is Not Enough",126.9
"645","Alan Rickman",1783.4,27,66.1,"Harry Potter / Deathly Hallows (P2)",381
"646","Daisy Ridley",1031.1,2,515.6,"Star Wars: The Force Awakens",936.7
"647","Rob Riggle",906.8,12,75.6,"The Lorax",214
"648","Noah Ringer",131.8,1,131.8,"The Last Airbender",131.8
"649","AnnaSophia Robb",272.7,8,34.1,"Bridge to Terabithia",82.3
"650","Margot Robbie",663,9,73.7,"Suicide Squad",325.1
"651","Tim Robbins",890.5,38,23.4,"War of the Worlds",234.3
"652","Emma Roberts",467.2,17,27.5,"We're the Millers",150.4
"653","Julia Roberts",2883.4,44,65.5,"Ocean's Eleven",183.4
"654","Chris Rock",1603,23,69.7,"Madagascar 3",216.4
"655","Sam Rockwell",1073.7,35,30.7,"Iron Man 2",312.4
"656","Gina Rodriguez",118,5,23.6,"Deepwater Horizon",61.4
"657","Michelle Rodriguez",2368,19,124.6,"Avatar",760.5
"658","Seth Rogen",2218.2,26,85.3,"Kung Fu Panda",215.4
"659","Elisabeth Rohm",56.5,1,56.5,"Joy",56.5
"660","Rebecca Romijn",680.4,8,85.1,"X-Men: The Last Stand",234.4
"661","Saoirse Ronan",293.9,14,21,"The Grand Budapest Hotel",59.3
"662","Emmy Rossum",331.2,12,27.6,"The Day After Tomorrow",186.7
"663","Eli Roth",NA,1,NA,"Aftershock",NA
"664","Mickey Rourke",842.3,36,23.4,"Iron Man 2",312.4
"665","Brandon Routh",203.1,3,67.7,"Superman Returns",200.1
"666","Gena Rowlands",358.2,21,17.1,"The Notebook",81
"667","Paul Rudd",1829.7,33,55.4,"Captain America 3",408.1
"668","Mark Ruffalo",2215.4,35,63.3,"The Avengers",623.4
"669","Geoffrey Rush",1714.3,30,57.1,"Pirates of the Caribbean 3",309.4
"670","Alex Russell",180.2,4,45.1,"Unbroken",115.6
"671","Kurt Russell",2208.2,37,59.7,"Guardians of the Galaxy 2",389.8
"672","Rene Russo",1528.2,23,66.4,"Thor: The Dark World",206.4
"673","Amy Ryan",511.7,21,24.4,"Central Intelligence",127.4
"674","Meg Ryan",1151.7,29,39.7,"Top Gun",179.8
"675","Winona Ryder",916.6,36,25.5,"Mr. Deeds",126.3
"676","Mark Rylance",357.8,6,59.6,"Dunkirk",188
"677","Katee Sackhoff",100.1,3,33.4,"Riddick",42
"678","Zoe Saldana",2639.8,28,94.3,"Avatar",760.5
"679","Andy Samberg",698.2,12,58.2,"Hotel Transylvania 2",169.7
"680","Adam Sandler",2661,32,83.2,"Hotel Transylvania 2",169.7
"681","Rodrigo Santoro",584,9,64.9,"300",210.6
"682","Susan Sarandon",1496,62,24.1,"Enchanted",127.8
"683","Peter Sarsgaard",711.9,27,26.4,"Green Lantern",116.6
"684","Akiva Schaffer",9.6,1,9.6,"Popstar",9.6
"685","Taylor Schilling",66.2,3,22.1,"The Lucky One",60.5
"686","Joseph Schneider",NA,1,NA,"I'm Not Jesus Mommy",NA
"687","Rob Schneider",895.1,17,52.7,"Big Daddy",163.5
"688","Matthias Schoenaerts",49.4,11,4.5,"Far from the Madding Crowd",12.2
"689","Liev Schreiber",1155.5,33,35,"X-Men Origins: Wolverine",179.9
"690","Jason Schwartzman",457.2,23,19.9,"Saving Mr. Banks",83.3
"691","Arnold Schwarzenegger",1885,30,62.8,"Terminator 2",205.9
"692","David Schwimmer",683,10,68.3,"Madagascar 3",216.4
"693","Adam Scott",588.5,26,22.6,"Step Brothers",100.5
"694","Jason Segel",929.4,15,62,"Despicable Me",251.5
"695","Andy Serkis",3037.5,24,126.6,"Star Wars: The Force Awakens",936.7
"696","Chloe Sevigny",107,21,5.1,"Zodiac",33.1
"697","Rufus Sewell",489.1,21,23.3,"Hercules",72.7
"698","Amanda Seyfried",959.1,24,40,"Les Miserables",148.8
"699","Tupac Shakur",83.1,6,13.8,"Poetic Justice",27.5
"700","Suraj Sharma",161.4,2,80.7,"Life of Pi",125
"701","Charlie Sheen",905.9,31,29.2,"Platoon",138.5
"702","Michael Sheen",1603.1,28,57.3,"Alice in Wonderland",334.2
"703","Tye Sheridan",195.1,8,24.4,"X-Men: Apocalypse",155.4
"704","M. Night Shyamalan",42.3,1,42.3,"Lady in the Water",42.3
"705","Gabourey Sidibe",132.5,4,33.1,"Tower Heist",78
"706","Sebastián Silva",NA,1,NA,"Nasty Baby",NA
"707","Alicia Silverstone",377,17,22.2,"Batman and Robin",107.3
"708","Stellan Skarsgard",3175,43,73.8,"The Avengers",623.4
"709","Alexander Skarsgård",191.4,8,23.9,"The Legend of Tarzan",126.6
"710","John Slattery",774.6,12,64.6,"Iron Man 2",312.4
"711","Kodi Smit-McPhee",440.7,8,55.1,"Dawn of the Planet of the Apes",208.5
"712","Jaden Smith",480,4,120,"The Karate Kid",176.6
"713","Kevin Smith",207.7,6,34.6,"Live Free or Die Hard",134.5
"714","Maggie Smith",647.6,22,29.4,"Sister Act",139.6
"715","Will Smith",3205,25,128.2,"Suicide Squad",325.1
"716","Wesley Snipes",976.5,31,31.5,"Blade II",82.3
"717","Kang-ho Song",14.1,8,1.8,"The Interview (2014)",6.1
"718","Kevin Spacey",1530.2,39,39.2,"Superman Returns",200.1
"719","David Spade",738.5,14,52.8,"Hotel Transylvania 2",169.7
"720","Octavia Spencer",1034,13,79.5,"Zootopia",341.3
"721","Morgan Spurlock",NA,1,NA,"POM Wonderful Presents: The Greatest Movie Ever Sold",NA
"722","Sylvester Stallone",2440.2,42,58.1,"Guardians of the Galaxy 2",389.8
"723","Sebastian Stan",1186.3,16,74.1,"Captain America 3",408.1
"724","Jason Statham",1509,32,47.2,"Furious 7",353
"725","Imelda Staunton",669.9,15,44.7,"Harry Potter / Phoenix",292
"726","Hailee Steinfeld",480.4,12,40,"Pitch Perfect 2",184.3
"727","Dan Stevens",668.6,9,74.3,"Beauty and the Beast",504
"728","Ray Stevenson",1166.8,16,72.9,"Thor: The Dark World",206.4
"729","Kristen Stewart",1819.9,30,60.7,"The Twilight Saga: Eclipse",300.5
"730","Patrick Stewart",1534.7,21,73.1,"X-Men: The Last Stand",234.4
"731","Julia Stiles",1041.3,20,52.1,"The Bourne Ultimatum",227.5
"732","Ben Stiller",2829.1,38,74.5,"Meet the Fockers",279.3
"733","Emma Stone",1559.2,19,82.1,"The Amazing Spider-Man",262
"734","Sharon Stone",732.6,35,20.9,"Total Recall",119.4
"735","Meryl Streep",2038.4,53,38.5,"Mamma Mia!",144.1
"736","Barbra Streisand",995.4,15,66.4,"Meet the Fockers",279.3
"737","Mark Strong",1233.7,36,34.3,"Sherlock Holmes",209
"738","Jim Sturgess",232.8,12,19.4,"21",81.2
"739","Tom Sturridge",23.7,7,3.4,"Far from the Madding Crowd",12.2
"740","Jason Sudeikis",896.9,18,49.8,"We're the Millers",150.4
"741","Jeremy Sumpter",139.9,4,35,"Peter Pan",48.5
"742","Kiefer Sutherland",1087.4,35,31.1,"Monsters Vs. Aliens",198.4
"743","Hilary Swank",475.9,18,26.4,"Million Dollar Baby",100.5
"744","Nick Swardson",792.5,13,61,"Grown Ups 2",133.7
"745","Patrick Swayze",574.5,24,23.9,"Ghost",217.6
"746","Tilda Swinton",1281,33,38.8,"The Chronicles of Narnia",291.7
"747","Omar Sy",1074.7,7,153.5,"Jurassic World",652.3
"748","Jorma Taccone",330.8,4,82.7,"The LEGO Movie",257.8
"749","Quentin Tarantino",28.7,2,14.3,"From Dusk Till Dawn",25.8
"750","Channing Tatum",2061.3,32,64.4,"The LEGO Movie",257.8
"751","Christine Taylor",307.9,7,44,"DodgeBall",114.3
"752","Aimee Teegarden",10.2,3,3.4,"Prom",10.1
"753","Miles Teller",659.5,16,41.2,"Divergent",150.9
"754","Juno Temple",387.4,17,22.8,"Maleficent",241.4
"755","Charlize Theron",1651.7,36,45.9,"Hancock",227.9
"756","Max Thieriot",233.5,9,25.9,"The Pacifier",113.1
"757","Olivia Thirlby",348.9,16,21.8,"Juno",143.5
"758","Emma Thompson",1558.1,32,48.7,"Beauty and the Beast",504
"759","Tessa Thompson",469.2,4,117.3,"Thor: Ragnarok",303
"760","Bella Thorne",315.3,8,39.4,"Alvin and the Chipmunks: The Road Chip",85.9
"761","Billy Bob Thornton",1056.8,35,30.2,"Armageddon",201.6
"762","Uma Thurman",774.4,31,25,"Pulp Fiction",107.9
"763","Brenton Thwaites",487.4,5,97.5,"Maleficent",241.4
"764","Justin Timberlake",670.4,15,44.7,"Trolls",153.7
"765","Analeigh Tipton",151.8,4,37.9,"Crazy Stupid Love.",84.4
"766","Marisa Tomei",2030.1,44,46.1,"Captain America 3",408.1
"767","Lily Tomlin",451.6,20,22.6,"9 to 5",103.3
"768","Michelle Trachtenberg",254.2,8,31.8,"Inspector Gadget",97.4
"769","John Travolta",2398.8,45,53.3,"Grease",188.8
"770","Stanley Tucci",3758.1,52,72.3,"Beauty and the Beast",504
"771","Chris Tucker",797.7,9,88.6,"Rush Hour 2",226.2
"772","Alan Tudyk",2174.9,12,181.2,"Rogue One",532.2
"773","Liv Tyler",1545.6,23,67.2,"Return of the King",377.8
"774","Carrie Underwood",43.9,1,43.9,"Soul Surfer",43.9
"775","Kate Upton",128.2,2,64.1,"The Other Woman",83.9
"776","Karl Urban",2264.5,19,119.2,"Return of the King",377.8
"777","Wilmer Valderrama",76.8,8,9.6,"Larry Crowne",35.6
"778","Nia Vardalos",317.9,5,63.6,"My Big Fat Greek Wedding",241.4
"779","Vince Vaughn",1784,35,51,"The Lost World",229.1
"780","Alexa Vega",369.5,9,41.1,"Spy Kids",112.7
"781","Alicia Vikander",309.7,12,25.8,"Jason Bourne",162.4
"782","Goran Visnjic",86.1,7,12.3,"Practical Magic",46.7
"783","Mike Vogel",537.7,11,48.9,"The Help",169.7
"784","Jon Voight",2268.2,35,64.8,"Transformers",319.2
"785","Mark Wahlberg",2865.7,40,71.6,"Transformers 4",245.4
"786","David Wain",NA,2,NA,"Delirious (2007)",NA
"787","Rhys Wakefield",46.7,3,15.6,"Endless Love",23.4
"788","Christopher Walken",2093,62,33.8,"The Jungle Book",364
"789","Paul Walker",1644.4,19,86.5,"Furious 7",353
"790","Quvenzhane Wallis",253.1,4,63.3,"Trolls",153.7
"791","Christoph Waltz",969.6,13,74.6,"Spectre",200.1
"792","Denzel Washington",2399.5,46,52.2,"American Gangster",130.2
"793","Mia Wasikowska",534.2,17,31.4,"Alice in Wonderland",334.2
"794","Katherine Waterston",336.2,4,84,"Fantastic Beasts and Where To Find Them",234
"795","Emma Watson",3206.4,18,178.1,"Beauty and the Beast",504
"796","Naomi Watts",949.5,38,25,"King Kong",218.1
"797","Damon Wayans",217.4,11,19.8,"The Last Boy Scout",59.5
"798","Keenen Ivory Wayans",69.2,4,17.3,"A Low Down Dirty Shame",29.4
"799","Marlon Wayans",765.6,17,45,"Scary Movie",157
"800","Shawn Wayans",377.9,5,75.6,"Scary Movie",157
"801","John Wayne",8.2,2,4.1,"The Shootist",8.1
"802","Sigourney Weaver",2280.1,47,48.5,"Avatar",760.5
"803","Hugo Weaving",2189.4,19,115.2,"Fellowship of the Ring",315.5
"804","Rachel Weisz",1229.2,35,35.1,"Oz The Great and Powerful",234.9
"805","Leigh Whannell",22.5,2,11.2,"The Bye Bye Man",22.4
"806","Ben Whishaw",666.8,13,51.3,"Skyfall",304.4
"807","Forest Whitaker",2112.9,55,38.4,"Rogue One",532.2
"808","Kristen Wiig",2183.2,31,70.4,"Despicable Me 2",368.1
"809","Olivia Wilde",571.5,21,27.2,"Tron Legacy",172.1
"810","Gene Wilder",357,10,35.7,"Blazing Saddles",119.6
"811","Tom Wilkinson",1207.2,44,27.4,"Rush Hour",141.2
"812","Michael K. Williams",656.1,15,43.7,"The Incredible Hulk",134.8
"813","Michelle Williams",694.6,27,25.7,"Oz The Great and Powerful",234.9
"814","Robin Williams",3279.3,49,66.9,"Night at the Museum",250.9
"815","Bruce Willis",3189.4,60,53.2,"Sixth Sense",293.5
"816","Luke Wilson",656.7,32,20.5,"Legally Blonde",96.5
"817","Owen Wilson",2875.6,42,68.5,"Night at the Museum",250.9
"818","Patrick Wilson",783.3,20,39.2,"The Conjuring",137.4
"819","Rebel Wilson",467.1,7,66.7,"Pitch Perfect 2",184.3
"820","Kate Winslet",1515.7,33,45.9,"Titanic",659.4
"821","Mary Elizabeth Winstead",479.9,17,28.2,"Live Free or Die Hard",134.5
"822","Reese Witherspoon",1551.4,32,48.5,"Sing",270.3
"823","Ellen Wong",31.5,1,31.5,"Scott Pilgrim vs. the World",31.5
"824","Elijah Wood",1889.3,37,51.1,"Return of the King",377.8
"825","Shailene Woodley",583.2,8,72.9,"Divergent",150.9
"826","Kenny Wormald",64.4,4,16.1,"Footloose",51.8
"827","Sam Worthington",1329.9,15,88.7,"Avatar",760.5
"828","Jeffrey Wright",2006.1,26,77.2,"Catching Fire",424.7
"829","Robin Wright",836.5,7,119.5,"Wonder Woman",412.6
"830","Anton Yelchin",1087.4,21,51.8,"Star Trek",257.7
"831","Donnie Yen",804.7,13,61.9,"Rogue One",532.2
"832","Michelle Yeoh",503.3,10,50.3,"Kung Fu Panda 2",165.2
"833","Renee Zellweger",1198.8,28,42.8,"Chicago",170.7
"834","Catherine Zeta-Jones",1229.3,24,51.2,"Chicago",170.7
"835","Zhang Ziyi",485.9,10,48.6,"Rush Hour 2",226.2
"836","Josh Zuckerman",8.4,2,4.2,"Sex Drive",8.4
